Complexity,Loss,Equation
1,6.6047265e-5,"-0.00020689331"
3,5.5083234e-5,"coeff(-3.828649, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,5.5049913e-5,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.051209)"
5,5.4953565e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.0632467) + -0.0003104911)"
6,5.4953558e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.062694) - -0.42359272) + -0.42390367)"
7,5.3777803e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.9632487) - cube(DELTA_LOG_ICE_BRENT))"
8,4.9342056e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8286743) + (DELTA_LOG_ICE_BRENT * -0.059204463))"
9,4.93291e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.828649) + (DELTA_LOG_ICE_BRENT * -0.05896951)) + -0.000113436545)"
10,4.9310307e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (-3.8286743 - DELTA_LOG_ICE_BRENT)) + (DELTA_LOG_ICE_BRENT * -0.059204463))"
11,4.9297847e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (-3.8286743 - DELTA_LOG_ICE_BRENT)) + (DELTA_LOG_ICE_BRENT * -0.059204463)) - 0.000111484755)"
12,4.8481696e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8286173) + (DELTA_LOG_ICE_BRENT * -0.058952346)) - (LAGGED_DELTA_LOG_NB_KKI * -0.058952346))"
13,4.8080783e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8286173) + (DELTA_LOG_ICE_BRENT * -0.058952346)) - (LAGGED_DELTA_LOG_NB_KKI * isnegative(-0.058952346)))"
14,4.799937e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8285923) + ((DELTA_LOG_ICE_BRENT * (-0.05753068 - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) - (LAGGED_DELTA_LOG_NB_KKI * -0.14020185)))"
17,4.7566766e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8286173) + ((DELTA_LOG_ICE_BRENT * (-0.058952346 + LAGGED_DELTA_LOG_NB_KKI)) - (LAGGED_DELTA_LOG_NB_KKI * -0.13532151))) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
18,4.747536e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8059146) + ((DELTA_LOG_ICE_BRENT * -0.058952346) - (LAGGED_DELTA_LOG_NB_KKI * -0.14599952))) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (1.4485096 - -0.24759929)))"
19,4.74275e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8285606) + ((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI + -0.057808667)) - (LAGGED_DELTA_LOG_NB_KKI * -0.15709925))) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.6528903))"
20,4.7423386e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8058867) + ((DELTA_LOG_ICE_BRENT * -0.057509255) - (LAGGED_DELTA_LOG_NB_KKI * (-0.16287415 - DELTA_LOG_ICE_BRENT)))) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (-0.057509255 + 1.9076293)))"
21,4.7422607e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8281853) + ((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI + -0.057889782)) - (LAGGED_DELTA_LOG_NB_KKI * -0.15698081))) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M - -1.819498)))"
