Complexity,Loss,Equation
1,0.00030864934563621456,"-0.000312247938619005"
3,0.00030237848135768755,"abs(INTEREST_DIFF)"
4,0.00022595269563318408,"(INTEREST_DIFF * -4.936021104824901)"
6,0.00022384537446312996,"(0.998589317059867 - (158.82875373144142 ^ INTEREST_DIFF))"
7,0.00021413095894832584,"((INTEREST_DIFF * -0.11232250521555864) * TIME)"
8,0.0002075583858974753,"((INTEREST_DIFF * -276.20816228264727) * abs(LAG_KKI))"
9,0.0001865213638907909,"((0.9352393537880258 ^ OIL) - (81.42590085086714 ^ INTEREST_DIFF))"
11,0.0001860372523969631,"(((INTEREST_DIFF + -0.06484848866999014) * (OIL + -4.410108871334635)) + -0.2866197977917078)"
12,0.00017910321093523584,"(((EQULIBIRUM - LAG_KKI) * (OIL - 0.3657426217376449)) + -0.02095252607764539)"
14,0.00014846388869395373,"((((INTEREST_DIFF * 14.655007939997578) + EQULIBIRUM) * (OIL - 0.29906689801266434)) + -0.01813780807632227)"
16,0.00014552246155975773,"(((((INTEREST_DIFF * 12.756916269470494) + EQULIBIRUM) + -0.020933389686258262) * (OIL - 0.32354768821817503)) + -0.02601171608789695)"
17,0.00014341080034173853,"(((((INTEREST_DIFF * 9.122608602729901) + EQULIBIRUM) - LAG_KKI) * (OIL - 0.3154608021058875)) + -0.018929338007531896)"
18,0.0001434108003417385,"(((((INTEREST_DIFF * abs(9.122608569742788)) + EQULIBIRUM) - LAG_KKI) * (OIL - 0.31546080139974997)) + -0.018929337967162688)"
19,0.00013388580272802767,"((((INTEREST_DIFF * 15.550597764396754) + EQULIBIRUM) * (OIL - ((0.00011160538210669572 / LAG_KKI) - -0.30487088404547713))) + -0.018266198108759964)"
21,0.0001319137140826886,"(((((INTEREST_DIFF - 0.0012411480432512082) * 13.959216671002597) + EQULIBIRUM) * (OIL - ((8.951668996039969e-5 / LAG_KKI) - -0.32341951801404906))) - 0.024747938130830763)"
