Complexity,Loss,Equation
1,6.6047265e-5,"-0.00020689114"
3,5.5049913e-5,"coeff(-4.051199, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,5.4953565e-5,"(coeff(-4.0630302, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + -0.0003105443)"
6,5.3804783e-5,"(coeff(-3.749269, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) - cube(DELTA_LOG_ICE_BRENT))"
7,4.935654e-5,"(coeff(-4.0530043, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (DELTA_LOG_ICE_BRENT * -0.059840996))"
8,4.934639e-5,"((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (DELTA_LOG_ICE_BRENT * -0.05867204)) + -0.00012148396)"
9,4.9319162e-5,"(coeff(-4.0530043, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (DELTA_LOG_ICE_BRENT * (-0.059840996 - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)))"
10,4.9001992e-5,"((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (DELTA_LOG_ICE_BRENT * -0.058600135)) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
11,4.8510563e-5,"((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) - (LAGGED_DELTA_LOG_NB_KKI * -0.059879422)) + (DELTA_LOG_ICE_BRENT * -0.059879422))"
12,4.8132635e-5,"((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) - (LAGGED_DELTA_LOG_NB_KKI * isnegative(-0.059879422))) + (DELTA_LOG_ICE_BRENT * -0.059879422))"
14,4.8092e-5,"((coeff(-4.078818, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + ((LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM - -0.17795406) * (-0.00553858 + LAGGED_DELTA_LOG_NB_KKI))) + (DELTA_LOG_ICE_BRENT * -0.059840996))"
15,4.7908918e-5,"(((coeff(-4.0786967, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * 0.09829515)) + (DELTA_LOG_ICE_BRENT * -0.057317562)) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
16,4.7766443e-5,"(((coeff(-4.078878, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (cube(coeff(0.5196816, 0.9362977)) * LAGGED_DELTA_LOG_NB_KKI)) + (DELTA_LOG_ICE_BRENT * -0.06364169)) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
17,4.74912e-5,"(((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * 0.11580482)) + (DELTA_LOG_ICE_BRENT * -0.058600135)) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 2.0958517))"
18,4.7445574e-5,"(((coeff(-3.5146742, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * 0.11580482)) + (DELTA_LOG_ICE_BRENT * -0.058600135)) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) + cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)))"
19,4.743068e-5,"(((coeff(-4.0788307, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * 0.11580482)) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (LAGGED_DELTA_LOG_NB_KKI - -2.4714012))) + (DELTA_LOG_ICE_BRENT * -0.058600135))"
20,4.741538e-5,"((((coeff(-4.078791, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * 0.11960655)) - (cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.7197396)) - (DELTA_LOG_ICE_BRENT * 0.058692608)) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
