Complexity,Loss,Equation
1,6.6047265e-5,"-0.0002068911"
2,6.5730754e-5,"isnegative(squaresign(isnegative(LAGGED_DELTA_LOG_NB_KKI)))"
3,5.6664525e-5,"(-0.0013310658 - isnegative(isnegative(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)))"
4,5.5049913e-5,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.0512333)"
5,5.2574596e-5,"(coeff(-0.05979611, DELTA_LOG_ICE_BRENT) - isnegative(isnegative(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)))"
6,5.1465297e-5,"(coeff(isnegative(isnegative(-0.0171127)), DELTA_LOG_ICE_BRENT - isnegative(squaresign(squaresign(isnegative(isnegative(squaresign(isnegative(isnegative(isnegative(isnegative(-0.0171127))))))))))) - isnegative(isnegative(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)))"
7,5.1271367e-5,"((-0.0011452277 - isnegative(isnegative(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))) - (DELTA_LOG_ICE_BRENT * 0.05753779))"
8,4.9357845e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.0650854) - (DELTA_LOG_ICE_BRENT * 0.059031524))"
9,4.9343525e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (squaresign(-1.4254463) - 1.8797897)) - (DELTA_LOG_ICE_BRENT * 0.060741358))"
10,4.8963313e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.4621162) - (DELTA_LOG_ICE_BRENT * 0.058721155)) - isnegative(isnegative(isnegative(squaresign(squaresign(squaresign(isnegative(isnegative(isnegative(squaresign(isnegative(squaresign(isnegative(isnegative(squaresign(isnegative(isnegative(isnegative(LAGGED_DELTA_LOG_NB_KKI)))))))))))))))))))"
11,4.885116e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (squaresign(-1.4254463) - 2.0364833)) - (DELTA_LOG_ICE_BRENT * 0.060741358)) - isnegative(isnegative(isnegative(squaresign(squaresign(squaresign(isnegative(isnegative(squaresign(isnegative(isnegative(squaresign(isnegative(isnegative(isnegative(LAGGED_DELTA_LOG_NB_KKI))))))))))))))))"
12,4.803447e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8934731) - (DELTA_LOG_ICE_BRENT * 0.055478636)) - (LAGGED_DELTA_LOG_NB_KKI * -0.14159422))"
14,4.7146084e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8934731) - (DELTA_LOG_ICE_BRENT * 0.052596167)) - (LAGGED_DELTA_LOG_NB_KKI * (-0.17703515 - isnegative(isnegative(isnegative(squaresign(isnegative(isnegative(isnegative(isnegative(isnegative(squaresign(isnegative(isnegative(isnegative(isnegative(squaresign(isnegative(LAGGED_DELTA_LOG_NB_KKI)))))))))))))))))))"
15,4.7017766e-5,"(((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.8934731) - (DELTA_LOG_ICE_BRENT * cube(0.3746721))) - (LAGGED_DELTA_LOG_NB_KKI * (-0.17703515 - squaresign(squaresign(isnegative(isnegative(isnegative(isnegative(isnegative(isnegative(squaresign(squaresign(squaresign(isnegative(isnegative(isnegative(isnegative(LAGGED_DELTA_LOG_NB_KKI))))))))))))))))))"
20,4.6693855e-5,"((((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.893457) - (DELTA_LOG_ICE_BRENT * 0.053229716)) - (LAGGED_DELTA_LOG_NB_KKI * (-0.17688 - squaresign(isnegative(squaresign(isnegative(squaresign(isnegative(isnegative(isnegative(isnegative(LAGGED_DELTA_LOG_NB_KKI)))))))))))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (-0.119648665 - isnegative(isnegative(isnegative(isnegative(isnegative(isnegative(squaresign(isnegative(squaresign(isnegative(isnegative(isnegative(isnegative(LAGGED_DELTA_LOG_NB_KKI))))))))))))))))"
