Complexity,Loss,Equation
21,0.0050645443,"((((coeff(0.18083355, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.04782588 - LAGGED_DELTA_LOG_NB_KKI))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.049814)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.022014607))) - 0.0016443185)"
22,0.0050645117,"((((coeff(0.18083355, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.04782588 - LAGGED_DELTA_LOG_NB_KKI))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.049814 - 0.0118357))) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.022014607))) - 0.0016443185)"
23,0.0050635007,"((((coeff(0.18083154, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.04782493 - LAGGED_DELTA_LOG_NB_KKI))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.0046716 + DELTA_LOG_ICE_BRENT))) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.021994011))) - 0.0016537593)"
24,0.0050604274,"(((((coeff(0.18637155, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.05107212 - LAGGED_DELTA_LOG_NB_KKI))) - 0.0015409304) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.039613)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.02579785))) + cube(DELTA_LOG_ICE_BRENT))"
25,0.005060426,"(((((coeff(0.18637155, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.05107212 - LAGGED_DELTA_LOG_NB_KKI))) - 0.0015409304) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.039613) + -1.0756796e-6)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.02579785))) + cube(DELTA_LOG_ICE_BRENT))"
26,0.005059363,"(((((coeff(0.18637155, LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.051072072 - LAGGED_DELTA_LOG_NB_KKI))) - 0.0015436804) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.039613 + DELTA_LOG_ICE_BRENT))) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.025797896))) + cube(DELTA_LOG_ICE_BRENT))"
27,0.005057453,"(((((((0.19100283 - LAGGED_DELTA_LOG_NB_KKI) * LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.051072586 - LAGGED_DELTA_LOG_NB_KKI))) - 0.0014630978) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0046716)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.025797565))) + cube(DELTA_LOG_ICE_BRENT))"
28,0.005057407,"((((((((0.19291805 - DELTA_LOG_ICE_BRENT) * LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * -0.051072355)) - 0.0014557538) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0046716)) + cube(DELTA_LOG_ICE_BRENT)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.025797725))) - squaresign(LAGGED_DELTA_LOG_NB_KKI))"
29,0.005056225,"(((((((0.19291805 - LAGGED_DELTA_LOG_NB_KKI) * LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * (-0.051072355 - LAGGED_DELTA_LOG_NB_KKI))) - 0.0014557538) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (DELTA_LOG_ICE_BRENT + 4.0046716))) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.025797725))) + cube(DELTA_LOG_ICE_BRENT))"
30,0.0050561596,"((((((((0.19291805 - DELTA_LOG_ICE_BRENT) * LAGGED_DELTA_LOG_NB_KKI) + (DELTA_LOG_ICE_BRENT * -0.051072355)) - 0.0014557538) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.0046716 + DELTA_LOG_ICE_BRENT))) + cube(DELTA_LOG_ICE_BRENT)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.025797725))) - squaresign(LAGGED_DELTA_LOG_NB_KKI))"
31,0.005053537,"((((((LAGGED_DELTA_LOG_NB_KKI * 0.2883673) - (DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI - -0.046996724))) - 0.0027950678) + (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * -0.026170647)) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.8677237) + (squaresign(LAGGED_DELTA_LOG_NB_KKI) * 6.180831))) - (abs(DELTA_LOG_ICE_BRENT) * coeff(0.5217871, LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)))"
