Complexity,Loss,Equation
1,0.006042254,"-0.001087349"
3,0.005685347,"coeff(-3.508864, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,0.005685344,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -3.4957979)"
5,0.0056042704,"(-0.0011990477 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0046396))"
6,0.0055760634,"((-0.00065851427 - coeff(0.051575717, DELTA_LOG_ICE_BRENT)) - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
7,0.0053498195,"(coeff(-0.05669136, DELTA_LOG_ICE_BRENT) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0380692))"
8,0.0053225504,"((-0.0005362297 - coeff(0.05627964, DELTA_LOG_ICE_BRENT)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.1457667))"
9,0.005320352,"((-0.0006089779 - (DELTA_LOG_ICE_BRENT * 0.057351362)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.210773))"
10,0.0051912596,"((coeff(0.17511328, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.055926606, DELTA_LOG_ICE_BRENT)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0044937))"
11,0.0051699094,"((coeff(0.1683383, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.050628416, DELTA_LOG_ICE_BRENT - -0.013432258)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.1515174))"
13,0.0051685213,"((coeff(0.1683383, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.050628416, DELTA_LOG_ICE_BRENT - -0.013432258)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.1751165 + LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)))"
14,0.005143194,"(((coeff(0.18921867, LAGGED_DELTA_LOG_NB_KKI) - cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)) - coeff(0.05181478, DELTA_LOG_ICE_BRENT - -0.018637508)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.953616))"
15,0.0051107933,"((((coeff(0.18829475, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.05627964, DELTA_LOG_ICE_BRENT)) - 0.002575612) + (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * -0.033196665)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.049814))"
16,0.005110788,"((((coeff(0.18829475, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.05627964, DELTA_LOG_ICE_BRENT)) - 0.002575612) + (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * -0.033196665)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.049814 + 0.002575612)))"
17,0.0051093325,"((((coeff(0.18913062, LAGGED_DELTA_LOG_NB_KKI) - coeff(0.05627964, DELTA_LOG_ICE_BRENT)) - 0.002575612) + (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (-0.033196665 - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.049814))"
18,0.0050768065,"((((coeff(0.1891582, LAGGED_DELTA_LOG_NB_KKI) - 0.0014704528) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.9849553)) - coeff(0.05190377, DELTA_LOG_ICE_BRENT)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.027125867)))"
19,0.0050750365,"(((coeff(0.19058423, LAGGED_DELTA_LOG_NB_KKI) + ((DELTA_LOG_ICE_BRENT + 0.03398495) * -0.04843515)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.004701)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.02327048)))"
20,0.005074549,"((((coeff(0.1891582, LAGGED_DELTA_LOG_NB_KKI) - 0.0014704528) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (3.9834847 + DELTA_LOG_ICE_BRENT))) - coeff(0.05190377, DELTA_LOG_ICE_BRENT)) - (abs(DELTA_LOG_ICE_BRENT) * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 0.027125867)))"
