Complexity,Loss,Equation
1,0.0128136845,"-0.0006878583"
3,0.0117818015,"coeff(-2.6131139, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,0.010944853,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -5.8393207)"
5,0.010858182,"(-0.00178132 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 6.224606))"
7,0.010522298,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.4403024) - cube(DELTA_LOG_ICE_BRENT))"
8,0.009790099,"((-0.00044052582 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.5344343)) - coeff(0.057690248, DELTA_LOG_ICE_BRENT))"
9,0.009786127,"((-0.0005402891 - (DELTA_LOG_ICE_BRENT * 0.05627811)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.6023536))"
10,0.0097799925,"((-0.00044052582 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (5.5344343 + DELTA_LOG_ICE_BRENT))) - coeff(0.057690248, DELTA_LOG_ICE_BRENT))"
11,0.009514871,"(((LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (-0.16727121 + DELTA_LOG_ICE_BRENT)) + -0.010030069) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.493462))"
12,0.009165799,"(((-0.0039476193 - (DELTA_LOG_ICE_BRENT * 0.05956546)) - squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.9795337))"
13,0.009164746,"((((-0.43227527 - (DELTA_LOG_ICE_BRENT * 0.05898485)) - squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)) - -0.4284084) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.0041647))"
14,0.009115897,"((((LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (-0.18353894 - LAGGED_DELTA_LOG_NB_KKI)) - coeff(0.06406286, DELTA_LOG_ICE_BRENT)) + -0.010926475) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.412969))"
15,0.009084933,"((((isnegative(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (-0.087224185 - LAGGED_DELTA_LOG_NB_KKI)) - 0.00976275) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.149026)) - coeff(0.06752025, DELTA_LOG_ICE_BRENT))"
16,0.009084199,"((((isnegative(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (-0.08722328 - LAGGED_DELTA_LOG_NB_KKI)) - 0.009801373) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.149026)) - (DELTA_LOG_ICE_BRENT * 0.06751687))"
17,0.009076315,"((((LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * (-0.20214476 - LAGGED_DELTA_LOG_NB_KKI)) - (DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI + 0.053471565))) + -0.012408861) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.157192))"
