Complexity,Loss,Equation
1,6.6047265e-5,"-0.00020689238"
3,5.5049917e-5,"coeff(-4.0512114, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
4,5.5049913e-5,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.0511813)"
5,5.4953565e-5,"(-0.0003102899 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0629306))"
6,5.111797e-5,"(coeff(-0.09205259, DELTA_LOG_ICE_BRENT) - coeff(3.8923368, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
7,4.9339218e-5,"((DELTA_LOG_ICE_BRENT * -0.05868627) - coeff(3.8923368, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
9,4.9306407e-5,"((DELTA_LOG_ICE_BRENT * (-0.05868627 - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) - coeff(3.8923368, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M))"
11,4.930363e-5,"((DELTA_LOG_ICE_BRENT * -0.05868627) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (4.06538 + LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM)) + 0.000121087))"
12,4.8054095e-5,"(((DELTA_LOG_ICE_BRENT * -0.05868627) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.8923368)) - (LAGGED_DELTA_LOG_NB_KKI * -0.14648435))"
16,4.7984107e-5,"(((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI - 0.056157928)) - (LAGGED_DELTA_LOG_NB_KKI * -0.14648435)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (DELTA_LOG_ICE_BRENT + 3.7887726)))"
19,4.7973022e-5,"(((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI - 0.056157928)) - (LAGGED_DELTA_LOG_NB_KKI * -0.14181219)) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.0255947) - (LAGGED_DELTA_LOG_NB_KKI * LAGGED_DELTA_LOG_NB_KKI)))"
20,4.7955305e-5,"(((((DELTA_LOG_ICE_BRENT * -0.059389114) + (isnegative(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * -0.0037147487)) - (isnegative(-0.059389114) * LAGGED_DELTA_LOG_NB_KKI)) - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 2.5197487))"
21,4.792508e-5,"(((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI - 0.05575391)) - (LAGGED_DELTA_LOG_NB_KKI * -0.19901188)) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (DELTA_LOG_ICE_BRENT + 3.8496594)) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * LAGGED_DELTA_LOG_NB_KKI)))"
