Complexity,Loss,Equation
1,0.0128137395,"-0.0006937767"
3,0.011617423,"coeff(-0.068267755, DELTA_LOG_ICE_BRENT)"
4,0.010944889,"(DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -5.8489532)"
5,0.010862447,"(-0.001776858 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 6.5216823))"
7,0.010799157,"(coeff(-0.0077870525, DELTA_LOG_ICE_BRENT) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.1042914))"
8,0.009806507,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -5.4098067) + (DELTA_LOG_ICE_BRENT * -0.059347633))"
9,0.0097856065,"((-0.00038743508 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.631451)) - (0.00015944192 - coeff(-0.056623284, DELTA_LOG_ICE_BRENT)))"
11,0.009175031,"((-0.004039329 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.9961863)) - (squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) - coeff(-0.05842614, DELTA_LOG_ICE_BRENT)))"
12,0.009164342,"((-0.0001933144 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.9961863)) - (squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) - coeff(-0.05846209, DELTA_LOG_ICE_BRENT + 0.061891887)))"
14,0.009129574,"((-0.0049693934 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.1617556)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.2576174) - (DELTA_LOG_ICE_BRENT * -0.05897514)))"
15,0.009126021,"((-0.0049693934 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.1617556)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (1.2576174 + 0.024914358)) - (DELTA_LOG_ICE_BRENT * -0.05897514)))"
16,0.009122,"((-0.0049693934 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.1617556)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * (1.2576174 + LAGGED_DELTA_LOG_NB_KKI)) - (DELTA_LOG_ICE_BRENT * -0.05897514)))"
17,0.009108593,"((-0.0077224276 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 4.7352295)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.6346219) + (squaresign(DELTA_LOG_ICE_BRENT) * (0.3000042 - LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))))"
18,0.009055062,"(((-0.0060909814 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.127362)) - (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM * LAGGED_DELTA_LOG_NB_KKI)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.5871015) - coeff(-0.061243165, DELTA_LOG_ICE_BRENT)))"
19,0.00901134,"(((-0.0060909814 - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.127362)) - (isnegative(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * LAGGED_DELTA_LOG_NB_KKI)) - ((squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.5871015) - coeff(-0.061243165, DELTA_LOG_ICE_BRENT)))"
21,0.0089581795,"((((0.012441617 - ((LAGGED_DELTA_LOG_NB_KKI - -0.05478465) * (DELTA_LOG_ICE_BRENT + 0.29567185))) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.1368723)) - (coeff(6.873669, LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * LAGGED_DELTA_LOG_NB_KKI)) - squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))"
23,0.008764483,"((((0.009854277 - ((LAGGED_DELTA_LOG_NB_KKI - -0.05478765) * (DELTA_LOG_ICE_BRENT + 0.2956718))) - (coeff(6.873447, LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * LAGGED_DELTA_LOG_NB_KKI)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 5.083975)) - (squaresign(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM) * 1.7510989))"
